a","b","c","","d","","e"
[,"manta","matīsu",".ti.",".f.$.pl.$.loc.","0.99",],
[,"manta","matiyā",".ti.",".f.$.sg.$.abl.","0.99",],
[,"manta","matiyā",".ti.",".f.$.sg.$.dat.","0.99",],
[,"manta","matiyā",".ti.",".f.$.sg.$.gen.","0.99",],
[,"manta","matiyā",".ti.",".f.$.sg.$.inst.","0.99",],
[,"manta","matiyā",".ti.",".f.$.sg.$.loc.","0.99",],
[,"manta","matiyaṃ",".ti.",".f.$.sg.$.loc.","0.99",],
[,"manta","matiyo",".ti.",".f.$.pl.$.acc.","0.99",],
[,"manta","matiyo",".ti.",".f.$.pl.$.nom.","0.99",],
[,"manta","matiyo",".ti.",".f.$.pl.$.voc.","0.3",],
[,"manta","mato",".ti.",".m.$.sg.$.dat.","0.99",],
[,"manta","mato",".ti.",".m.$.sg.$.gen.","0.99",],
[,"manta","mato",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"manta","mato",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"manta","mato",".ti.",".m.$.sg.$.dat.","0.99",],
[,"manta","mato",".ti.",".m.$.sg.$.gen.","0.99",],
[,"manta","mato",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"manta","mato",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"manta","me",".ti.",".m.$.pl.$.acc.","0.99",],
[,"manta","mebhi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"manta","mebhi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"manta","mehi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"manta","mehi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"manta","mesu",".ti.",".m.$.pl.$.loc.","0.99",],
[,"vanta","vā",".ti.",".m.$.pl.$.nom.","0.99",],
[,"vanta","vā",".ti.",".m.$.pl.$.voc.","0.3",],
[,"vanta","vā",".ti.",".m.$.sg.$.nom.","0.99",],
[,"vanta","va",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vanta","vā",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vanta","vā",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"vanta","vā",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"vanta","va",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vanta","vā",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vanta","vā",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vanta","vā",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vanta","vaṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"vanta","vaṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"vanta","vaṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"vanta","vaṃ",".ti.",".m.$.sg.$.nom.","0.99",],
[,"vanta","vaṃ",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vanta","vaṃ",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vanta","vaṃ",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vanta","vaṃ",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vanta","vānaṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"vanta","vānaṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"vanta","vantā",".ti.",".m.$.pl.$.nom.","0.99",],
[,"vanta","vantā",".ti.",".m.$.pl.$.voc.","0.3",],
[,"vanta","vantā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vanta","vanta",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vanta","vantā",".ti.",".m.$.sg.$.voc.","0.3",],
[,"vanta","vanta",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"vanta","vantā",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"vanta","vanta",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"vanta","vantā",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"vanta","vanta",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"vanta","vantā",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"vanta","vantā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vanta","vanta",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vanta","vantā",".ti.",".nt.$.sg.$.voc.","0.3",],
[,"vanta","vantaṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"vanta","vantaṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"vanta","vantaṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"vanta","vantaṃ",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"vanta","vantaṃ",".ti.",".m.$.sg.$.acc.","0.99",],
[,"vanta","vantaṃ",".ti.",".nt.$.sg.$.acc.","0.99",],
[,"vanta","vantamhā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vanta","vantamhā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vanta","vantamhā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vanta","vantamhā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vanta","vantamhi",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vanta","vantamhi",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vanta","vantamhi",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vanta","vantamhi",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vanta","vantānaṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"vanta","vantānaṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"vanta","vantānaṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"vanta","vantānaṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"vanta","vantānaṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"vanta","vantānaṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"vanta","vantani",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"vanta","vantāni",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"vanta","vantani",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"vanta","vantāni",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"vanta","vantani",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"vanta","vantāni",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"vanta","vantasmā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vanta","vantasmā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vanta","vantasmā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vanta","vantasmā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vanta","vantasmiṃ",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vanta","vantasmiṃ",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vanta","vantasmiṃ",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vanta","vantasmiṃ",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vanta","vantassa",".ti.",".m.$.sg.$.dat.","0.99",],
[,"vanta","vantassa",".ti.",".m.$.sg.$.gen.","0.99",],
[,"vanta","vantassa",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"vanta","vantassa",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"vanta","vantassa",".ti.",".m.$.sg.$.dat.","0.99",],
[,"vanta","vantassa",".ti.",".m.$.sg.$.gen.","0.99",],
[,"vanta","vantassa",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"vanta","vantassa",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"vanta","vante",".ti.",".m.$.pl.$.acc.","0.99",],
[,"vanta","vante",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vanta","vante",".ti.",".nt.$.pl.$.acc.","0.99",],
[,"vanta","vante",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vanta","vantebhi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"vanta","vantebhi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"vanta","vantebhi",".ti.",".nt.$.pl.$.abl.","0.99",],
[,"vanta","vantebhi",".ti.",".nt.$.pl.$.inst.","0.99",],
[,"vanta","vantehi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"vanta","vantehi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"vanta","vantehi",".ti.",".nt.$.pl.$.abl.","0.99",],
[,"vanta","vantehi",".ti.",".nt.$.pl.$.inst.","0.99",],
[,"vanta","vantesu",".ti.",".m.$.pl.$.loc.","0.99",],
[,"vanta","vantesu",".ti.",".nt.$.pl.$.loc.","0.99",],
[,"vanta","vantesu",".ti.",".nt.$.pl.$.loc.","0.99",],
[,"vanta","vantī",".ti.",".f.$.pl.$.acc.","0.99",],
[,"vanta","vantī",".ti.",".f.$.pl.$.nom.","0.99",],
[,"vanta","vantī",".ti.",".f.$.pl.$.voc.","0.3",],
[,"vanta","vantī",".ti.",".f.$.sg.$.nom.","0.99",],
[,"vanta","vantī",".ti.",".f.$.sg.$.voc.","0.3",],
[,"vanta","vantībhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"vanta","vantībhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"vanta","vantīhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"vanta","vantīhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"vanta","vantiṃ",".ti.",".f.$.sg.$.acc.","0.99",],
[,"vanta","vantīnaṃ",".ti.",".f.$.pl.$.dat.","0.99",],
[,"vanta","vantīnaṃ",".ti.",".f.$.pl.$.gen.","0.99",],
[,"vanta","vantīsu",".ti.",".f.$.pl.$.loc.","0.99",],
[,"vanta","vantiyā",".ti.",".f.$.sg.$.abl.","0.99",],
[,"vanta","vantiyā",".ti.",".f.$.sg.$.dat.","0.99",],
[,"vanta","vantiyā",".ti.",".f.$.sg.$.gen.","0.99",],
[,"vanta","vantiyā",".ti.",".f.$.sg.$.inst.","0.99",],
[,"vanta","vantiyā",".ti.",".f.$.sg.$.loc.","0.99",],
[,"vanta","vantiyaṃ",".ti.",".f.$.sg.$.loc.","0.99",],
[,"vanta","vantiyo",".ti.",".f.$.pl.$.acc.","0.99",],
[,"vanta","vantiyo",".ti.",".f.$.pl.$.nom.","0.99",],
[,"vanta","vantiyo",".ti.",".f.$.pl.$.voc.","0.3",],
[,"vanta","vanto",".ti.",".m.$.pl.$.nom.","0.99",],
[,"vanta","vanto",".ti.",".m.$.pl.$.voc.","0.3",],
[,"vanta","vanto",".ti.",".m.$.sg.$.nom.","0.99",],
[,"vanta","vanto",".ti.",".nt.$.pl.$.nom.","0.99",],
[,"vanta","vanto",".ti.",".nt.$.pl.$.voc.","0.3",],
[,"vanta","vanto",".ti.",".nt.$.sg.$.nom.","0.99",],
[,"vanta","vatā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vanta","vatā",".ti.",".m.$.sg.$.inst.","0.99",],
[,"vanta","vatā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vanta","vatā",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"vanta","vatā",".ti.",".m.$.sg.$.abl.","0.99",],
[,"vanta","vatā",".ti.",".m.$.sg.$.inst.","0.99",],
[,"vanta","vatā",".ti.",".nt.$.sg.$.abl.","0.99",],
[,"vanta","vatā",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"vanta","vataṃ",".ti.",".m.$.pl.$.dat.","0.99",],
[,"vanta","vataṃ",".ti.",".m.$.pl.$.gen.","0.99",],
[,"vanta","vataṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"vanta","vataṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"vanta","vataṃ",".ti.",".nt.$.pl.$.dat.","0.99",],
[,"vanta","vataṃ",".ti.",".nt.$.pl.$.gen.","0.99",],
[,"vanta","vatena",".ti.",".m.$.sg.$.inst.","0.99",],
[,"vanta","vatena",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"vanta","vatena",".ti.",".m.$.sg.$.inst.","0.99",],
[,"vanta","vatena",".ti.",".nt.$.sg.$.inst.","0.99",],
[,"vanta","vatī",".ti.",".f.$.pl.$.acc.","0.99",],
[,"vanta","vatī",".ti.",".f.$.pl.$.nom.","0.99",],
[,"vanta","vatī",".ti.",".f.$.pl.$.voc.","0.3",],
[,"vanta","vatī",".ti.",".f.$.sg.$.nom.","0.99",],
[,"vanta","vatī",".ti.",".f.$.sg.$.voc.","0.3",],
[,"vanta","vati",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vanta","vati",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vanta","vati",".ti.",".m.$.sg.$.loc.","0.99",],
[,"vanta","vati",".ti.",".nt.$.sg.$.loc.","0.99",],
[,"vanta","vatībhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"vanta","vatībhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"vanta","vatīhi",".ti.",".f.$.pl.$.abl.","0.99",],
[,"vanta","vatīhi",".ti.",".f.$.pl.$.inst.","0.99",],
[,"vanta","vatiṃ",".ti.",".f.$.sg.$.acc.","0.99",],
[,"vanta","vatīnaṃ",".ti.",".f.$.pl.$.dat.","0.99",],
[,"vanta","vatīnaṃ",".ti.",".f.$.pl.$.gen.","0.99",],
[,"vanta","vatīsu",".ti.",".f.$.pl.$.loc.","0.99",],
[,"vanta","vatiyā",".ti.",".f.$.sg.$.abl.","0.99",],
[,"vanta","vatiyā",".ti.",".f.$.sg.$.dat.","0.99",],
[,"vanta","vatiyā",".ti.",".f.$.sg.$.gen.","0.99",],
[,"vanta","vatiyā",".ti.",".f.$.sg.$.inst.","0.99",],
[,"vanta","vatiyā",".ti.",".f.$.sg.$.loc.","0.99",],
[,"vanta","vatiyaṃ",".ti.",".f.$.sg.$.loc.","0.99",],
[,"vanta","vatiyo",".ti.",".f.$.pl.$.acc.","0.99",],
[,"vanta","vatiyo",".ti.",".f.$.pl.$.nom.","0.99",],
[,"vanta","vatiyo",".ti.",".f.$.pl.$.voc.","0.3",],
[,"vanta","vato",".ti.",".m.$.sg.$.dat.","0.99",],
[,"vanta","vato",".ti.",".m.$.sg.$.gen.","0.99",],
[,"vanta","vato",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"vanta","vato",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"vanta","vato",".ti.",".m.$.sg.$.dat.","0.99",],
[,"vanta","vato",".ti.",".m.$.sg.$.gen.","0.99",],
[,"vanta","vato",".ti.",".nt.$.sg.$.dat.","0.99",],
[,"vanta","vato",".ti.",".nt.$.sg.$.gen.","0.99",],
[,"vanta","ve",".ti.",".m.$.pl.$.acc.","0.99",],
[,"vanta","vebhi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"vanta","vebhi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"vanta","vehi",".ti.",".m.$.pl.$.abl.","0.99",],
[,"vanta","vehi",".ti.",".m.$.pl.$.inst.","0.99",],
[,"vanta","vesu",".ti.",".m.$.pl.$.loc.","0.99",],
[,"a","o",".n.",".m.$.sg.$.nom.","0.99",],
[,"a","a",".n.",".m.$.sg.$.voc.","0.3",],
[,"a","ā",".n.",".m.$.sg.$.voc.","0.3",],
[,"a","aṃ",".n.",".m.$.sg.$.acc.","0.99",],
[,"a","assa",".n.",".m.$.sg.$.gen.","0.99",],
[,"a","assa",".n.",".m.$.sg.$.dat.","0.99",],
[,"a","āya",".n.",".m.$.sg.$.dat.","0.99",],
[,"a","ena",".n.",".m.$.sg.$.inst.","0.99",],
[,"a","ā",".n.",".m.$.sg.$.abl.","0.99",],
[,"a","asmā",".n.",".m.$.sg.$.abl.","0.99",],
[,"a","amhā",".n.",".m.$.sg.$.abl.","0.99",],
[,"a","ato",".n.",".m.$.sg.$.abl.","0.99",],
[,"a","e",".n.",".m.$.sg.$.loc.","0.99",],
[,"a","asmiṃ",".n.",".m.$.sg.$.loc.","0.99",],
[,"a","amhi",".n.",".m.$.sg.$.loc.","0.99",],
[,"a","ā",".n.",".m.$.pl.$.nom.","0.99",],
[,"a","āse",".n.",".m.$.pl.$.nom.","0.99",],
[,"a","ā",".n.",".m.$.pl.$.voc.","0.3",],
[,"a","e",".n.",".m.$.pl.$.acc.","0.99",],
[,"a","ānaṃ",".n.",".m.$.pl.$.gen.","0.99",],
[,"a","ānaṃ",".n.",".m.$.pl.$.dat.","0.99",],
[,"a","ehi",".n.",".m.$.pl.$.inst.","0.99",],
[,"a","ebhi",".n.",".m.$.pl.$.inst.","0.99",],
[,"a","ehi",".n.",".m.$.pl.$.abl.","0.99",],
[,"a","ebhi",".n.",".m.$.pl.$.abl.","0.99",],
[,"a","esu",".n.",".m.$.pl.$.loc.","0.99",],
[,"a","aṃ",".n.",".nt.$.sg.$.nom.","0.99",],
[,"a","a",".n.",".nt.$.sg.$.voc.","0.3",],
[,"a","aṃ",".n.",".nt.$.sg.$.acc.","0.99",],
[,"a","assa",".n.",".nt.$.sg.$.gen.","0.99",],
[,"a","assa",".n.",".nt.$.sg.$.dat.","0.99",],
[,"a","āya",".n.",".nt.$.sg.$.dat.","0.99",],
[,"a","ena",".n.",".nt.$.sg.$.inst.","0.99",],
[,"a","ā",".n.",".nt.$.sg.$.abl.","0.99",],
[,"a","asmā",".n.",".nt.$.sg.$.abl.","0.99",],
[,"a","amhā",".n.",".nt.$.sg.$.abl.","0.99",],
[,"a","ato",".n.",".nt.$.sg.$.abl.","0.99",],
[,"a","e",".n.",".nt.$.sg.$.loc.","0.99",],
[,"a","asmiṃ",".n.",".nt.$.sg.$.loc.","0.99",],
[,"a","amhi",".n.",".nt.$.sg.$.loc.","0.99",],
[,"a","āni",".n.",".nt.$.pl.$.nom.","0.99",],
[,"a","ā",".n.",".nt.$.pl.$.nom.","0.99",],
[,"a","āni",".n.",".nt.$.pl.$.voc.","0.3",],
[,"a","ā",".n.",".nt.$.pl.$.voc.","0.3",],
[,"a","āni",".n.",".nt.$.pl.$.acc.","0.99",],
[,"a","e",".n.",".nt.$.pl.$.acc.","0.99",],
[,"a","ānaṃ",".n.",".nt.$.pl.$.gen.","0.99",],
[,"a","ānaṃ",".n.",".nt.$.pl.$.dat.","0.99",],
[,"a","ehi",".n.",".nt.$.pl.$.inst.","0.99",],
[,"a","ebhi",".n.",".nt.$.pl.$.inst.","0.99",],
[,"a","ehi",".n.",".nt.$.pl.$.abl.","0.99",],
[,"a","ebhi",".n.",".nt.$.pl.$.abl.","0.99",],
[,"a","esu",".n.",".nt.$.pl.$.loc.","0.99",],
[,"a","esaṃ",".n.",".m.$.pl.$.dat.","0.99",],
[,"a","esaṃ",".n.",".m.$.pl.$.gen.","0.99",],
[,"a","esaṃ",".n.",".nt.$.pl.$.dat.","0.99",],
[,"a","esaṃ",".n.",".nt.$.pl.$.gen.","0.99",],
[,"ā","ā",".n.",".f.$.sg.$.nom.","0.99",],
[,"ā","ā",".n.",".f.$.sg.$.voc.","0.3",],
[,"ā","e",".n.",".f.$.sg.$.voc.","0.3",],
[,"ā","aṃ",".n.",".f.$.sg.$.acc.","0.99",],
[,"ā","āya",".n.",".f.$.sg.$.gen.","0.99",],
[,"ā","āya",".n.",".f.$.sg.$.dat.","0.99",],
[,"ā","āya",".n.",".f.$.sg.$.inst.","0.99",],
[,"ā","āya",".n.",".f.$.sg.$.abl.","0.99",],
[,"ā","ato",".n.",".f.$.sg.$.abl.","0.99",],
[,"ā","āya",".n.",".f.$.sg.$.loc.","0.99",],
[,"ā","āyaṃ",".n.",".f.$.sg.$.loc.","0.99",],
[,"ā","ā",".n.",".f.$.pl.$.nom.","0.99",],
[,"ā","āyo",".n.",".f.$.pl.$.nom.","0.99",],
[,"ā","ā",".n.",".f.$.pl.$.voc.","0.3",],
[,"ā","āyo",".n.",".f.$.pl.$.voc.","0.3",],
[,"ā","ā",".n.",".f.$.pl.$.acc.","0.99",],
[,"ā","āyo",".n.",".f.$.pl.$.acc.","0.99",],
[,"ā","ānaṃ",".n.",".f.$.pl.$.gen.","0.99",],
[,"ā","ānaṃ",".n.",".f.$.pl.$.dat.","0.99",],
[,"ā","āhi",".n.",".f.$.pl.$.inst.","0.99",],
[,"ā","ābhi",".n.",".f.$.pl.$.inst.","0.99",],
[,"ā","āhi",".n.",".f.$.pl.$.abl.","0.99",],
[,"ā","ābhi",".n.",".f.$.pl.$.abl.","0.99",],
[,"ā","āsu",".n.",".f.$.pl.$.loc.","0.99",],
[,"i","i",".n.",".m.$.sg.$.nom.","0.99",],
[,"i","i",".n.",".m.$.sg.$.voc.","0.3",],
[,"i","iṃ",".n.",".m.$.sg.$.acc.","0.99",],
[,"i","issa",".n.",".m.$.sg.$.gen.","0.99",],
[,"i","ino",".n.",".m.$.sg.$.gen.","0.99",],
[,"i","issa",".n.",".m.$.sg.$.dat.","0.99",],
[,"i","ino",".n.",".m.$.sg.$.dat.","0.99",],
[,"i","inā",".n.",".m.$.sg.$.inst.","0.99",],
[,"i","inā",".n.",".m.$.sg.$.abl.","0.99",],
[,"i","ismā",".n.",".m.$.sg.$.abl.","0.99",],
[,"i","imhā",".n.",".m.$.sg.$.abl.","0.99",],
[,"i","ismiṃ",".n.",".m.$.sg.$.loc.","0.99",],
[,"i","imhi",".n.",".m.$.sg.$.loc.","0.99",],
[,"i","ī",".n.",".m.$.pl.$.nom.","0.99",],
[,"i","ayo",".n.",".m.$.pl.$.nom.","0.99",],
[,"i","ī",".n.",".m.$.pl.$.voc.","0.3",],
[,"i","ayo",".n.",".m.$.pl.$.voc.","0.3",],
[,"i","ī",".n.",".m.$.pl.$.acc.","0.99",],
[,"i","ayo",".n.",".m.$.pl.$.acc.","0.99",],
[,"i","īnaṃ",".n.",".m.$.pl.$.gen.","0.99",],
[,"i","īnaṃ",".n.",".m.$.pl.$.dat.","0.99",],
[,"i","īhi",".n.",".m.$.pl.$.inst.","0.99",],
[,"i","ībhi",".n.",".m.$.pl.$.inst.","0.99",],
[,"i","īhi",".n.",".m.$.pl.$.abl.","0.99",],
[,"i","ībhi",".n.",".m.$.pl.$.abl.","0.99",],
[,"i","īsu",".n.",".m.$.pl.$.loc.","0.99",],
[,"i","i",".n.",".nt.$.sg.$.nom.","0.99",],
[,"i","i",".n.",".nt.$.sg.$.voc.","0.3",],
[,"i","iṃ",".n.",".nt.$.sg.$.acc.","0.99",],
[,"i","assa",".n.",".nt.$.sg.$.gen.","0.99",],
[,"i","ino",".n.",".nt.$.sg.$.gen.","0.99",],
[,"i","assa",".n.",".nt.$.sg.$.dat.","0.99",],
[,"i","ino",".n.",".nt.$.sg.$.dat.","0.99",],
[,"i","inā",".n.",".nt.$.sg.$.inst.","0.99",],
[,"i","inā",".n.",".nt.$.sg.$.abl.","0.99",],
[,"i","ismā",".n.",".nt.$.sg.$.abl.","0.99",],
[,"i","imhā",".n.",".nt.$.sg.$.abl.","0.99",],
[,"i","ismiṃ",".n.",".nt.$.sg.$.loc.","0.99",],
[,"i","imhi",".n.",".nt.$.sg.$.loc.","0.99",],
[,"i","īni",".n.",".nt.$.pl.$.nom.","0.99",],
[,"i","ī",".n.",".nt.$.pl.$.nom.","0.99",],
[,"i","īni",".n.",".nt.$.pl.$.voc.","0.3",],
[,"i","ī",".n.",".nt.$.pl.$.voc.","0.3",],
[,"i","īni",".n.",".nt.$.pl.$.acc.","0.99",],
[,"i","ī",".n.",".nt.$.pl.$.acc.","0.99",],
[,"i","īnaṃ",".n.",".nt.$.pl.$.gen.","0.99",],
[,"i","īnaṃ",".n.",".nt.$.pl.$.dat.","0.99",],
[,"i","īhi",".n.",".nt.$.pl.$.inst.","0.99",],
[,"i","ībhi",".n.",".nt.$.pl.$.inst.","0.99",],
[,"i","īhi",".n.",".nt.$.pl.$.abl.","0.99",],
[,"i","ībhi",".n.",".nt.$.pl.$.abl.","0.99",],
[,"i","īsu",".n.",".nt.$.pl.$.loc.","0.99",],
[,"i","i",".n.",".f.$.sg.$.nom.","0.99",],
[,"i","i",".n.",".f.$.sg.$.voc.","0.3",],
[,"i","iṃ",".n.",".f.$.sg.$.acc.","0.99",],
[,"i","iyā",".n.",".f.$.sg.$.gen.","0.99",],
[,"i","yā",".n.",".f.$.sg.$.gen.","0.99",],
[,"i","iyā",".n.",".f.$.sg.$.dat.","0.99",],
[,"i","yā",".n.",".f.$.sg.$.dat.","0.99",],
[,"i","iyā",".n.",".f.$.sg.$.inst.","0.99",],
[,"i","yā",".n.",".f.$.sg.$.inst.","0.99",],
[,"i","iyā",".n.",".f.$.sg.$.abl.","0.99",],
[,"i","yā",".n.",".f.$.sg.$.abl.","0.99",],
[,"i","iyā",".n.",".f.$.sg.$.loc.","0.99",],
[,"i","yā",".n.",".f.$.sg.$.loc.","0.99",],
[,"i","iyaṃ",".n.",".f.$.sg.$.loc.","0.99",],
[,"i","yaṃ",".n.",".f.$.sg.$.loc.","0.99",],
[,"i","ī",".n.",".f.$.pl.$.nom.","0.99",],
[,"i","iyo",".n.",".f.$.pl.$.nom.","0.99",],
[,"i","yo",".n.",".f.$.pl.$.nom.","0.99",],
[,"i","ī",".n.",".f.$.pl.$.voc.","0.3",],
[,"i","iyo",".n.",".f.$.pl.$.voc.","0.3",],
[,"i","yo",".n.",".f.$.pl.$.voc.","0.3",],
[,"i","ī",".n.",".f.$.pl.$.acc.","0.99",],
[,"i","iyo",".n.",".f.$.pl.$.acc.","0.99",],
[,"i","yo",".n.",".f.$.pl.$.acc.","0.99",],
[,"i","īnaṃ",".n.",".f.$.pl.$.gen.","0.99",],
[,"i","īnaṃ",".n.",".f.$.pl.$.dat.","0.99",],
[,"i","īhi",".n.",".f.$.pl.$.inst.","0.99",],
[,"i","ībhi",".n.",".f.$.pl.$.inst.","0.99",],
[,"i","īhi",".n.",".f.$.pl.$.abl.","0.99",],
[,"i","ībhi",".n.",".f.$.pl.$.abl.","0.99",],
[,"i","īsu",".n.",".f.$.pl.$.loc.","0.99",],
[,"ī","ī",".n.",".m.$.sg.$.nom.","0.99",],
[,"in","ī",".n.",".m.$.sg.$.nom.","0.99",],
[,"ī","ī",".n.",".m.$.sg.$.voc.","0.3",],
[,"ī","inī",".n.",".m.$.sg.$.voc.","0.3",],
[,"in","ī",".n.",".m.$.sg.$.voc.","0.3",],
[,"in","inī",".n.",".m.$.sg.$.voc.","0.3",],
[,"ī","iṃ",".n.",".m.$.sg.$.acc.","0.99",],
[,"ī","inaṃ",".n.",".m.$.sg.$.acc.","0.99",],
[,"in","iṃ",".n.",".m.$.sg.$.acc.","0.99",],
[,"in","inaṃ",".n.",".m.$.sg.$.acc.","0.99",],
[,"ī","issa",".n.",".m.$.sg.$.gen.","0.99",],
[,"ī","ino",".n.",".m.$.sg.$.gen.","0.99",],
[,"in","issa",".n.",".m.$.sg.$.gen.","0.99",],
[,"in","ino",".n.",".m.$.sg.$.gen.","0.99",],
[,"ī","issa",".n.",".m.$.sg.$.dat.","0.99",],
[,"ī","ino",".n.",".m.$.sg.$.dat.","0.99",],
[,"in","issa",".n.",".m.$.sg.$.dat.","0.99",],
[,"in","ino",".n.",".m.$.sg.$.dat.","0.99",],
[,"ī","inā",".n.",".m.$.sg.$.inst.","0.99",],
[,"in","inā",".n.",".m.$.sg.$.inst.","0.99",],
[,"ī","inā",".n.",".m.$.sg.$.abl.","0.99",],
[,"ī","ismā",".n.",".m.$.sg.$.abl.","0.99",],
[,"ī","imhā",".n.",".m.$.sg.$.abl.","0.99",],
[,"in","inā",".n.",".m.$.sg.$.abl.","0.99",],
[,"in","ismā",".n.",".m.$.sg.$.abl.","0.99",],
[,"in","imhā",".n.",".m.$.sg.$.abl.","0.99",],
[,"ī","ismiṃ",".n.",".m.$.sg.$.loc.","0.99",],
[,"ī","imhi",".n.",".m.$.sg.$.loc.","0.99",],
[,"in","ismiṃ",".n.",".m.$.sg.$.loc.","0.99",],
